+-------+----------------------------------------+-----------+-------+-------+
| COUNT |                  URI                   |    SUM    |  MAX  |  AVG  |
+-------+----------------------------------------+-----------+-------+-------+
| 12251 | /api/player/player/\w+                 | 10266.101 | 8.508 | 0.838 |
| 6802  | /api/player/competition/\w+/ranking    | 5707.881  | 8.516 | 0.839 |
| 1520  | /api/player/competitions               | 903.222   | 8.404 | 0.594 |
| 208   | /api/organizer/competition/\w+/score   | 190.445   | 8.436 | 0.916 |
| 194   | /api/organizer/competitions/add        | 152.962   | 8.060 | 0.788 |
| 191   | /api/organizer/players                 | 128.009   | 8.032 | 0.670 |
| 168   | /api/organizer/competition/\w+/finish  | 116.790   | 8.188 | 0.695 |
| 141   | /api/organizer/billing                 | 92.727    | 7.764 | 0.658 |
| 430   | /api/admin/tenants/billing             | 61.491    | 1.344 | 0.143 |
| 71    | /api/organizer/players/add             | 34.063    | 7.360 | 0.480 |
| 41    | /api/admin/tenants/add                 | 4.868     | 1.132 | 0.119 |
| 1     | /initialize                            | 1.408     | 1.408 | 1.408 |
| 15    | /api/organizer/player/\w+/disqualified | 1.164     | 0.316 | 0.078 |
| 1     | /api/organizer/competitions            | 0.004     | 0.004 | 0.004 |
| 1     | /css/app.83b4c321.css                  | 0.000     | 0.000 | 0.000 |
| 1     | /js/app.3a4ec98c.js                    | 0.000     | 0.000 | 0.000 |
| 1     | /index.html                            | 0.000     | 0.000 | 0.000 |
+-------+----------------------------------------+-----------+-------+-------+
